2015,2016,2017,id,miejsce,miejsce2018,nazwa,link,miasto,wsk,znak,profil
246,379,160,29,30,363,Katolickie LO im. Jana Pawła II,Katolickie LO im. Jana Pawła II,Łódź,42.29,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-brown.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
312,418,335,30,31,378,Liceum Ogólnokształcące im. M. Skłodowskiej-Curie,Liceum Ogólnokształcące im. M. Skłodowskiej-Curie,Rawa Maz.,41.65,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-brown.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
306,342,331,31,32,382,LO nr XXV im. Stefana Żeromskiego,LO nr XXV im. Stefana Żeromskiego,Łódź,41.48,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-brown.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
347,437,398,32,33,403,XXXII LO im. Haliny Poświatowskiej ,XXXII LO im. Haliny Poświatowskiej ,Łódź,41.00,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-brown.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
380,500+,500+,33,34,430,II Liceum Ogólnokształcące im. Janusza Korczaka,II Liceum Ogólnokształcące im. Janusza Korczaka,Wieluń,40.58,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-brown.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
500+,488,500+,34,35,433,I Liceum Ogólnokształcące im. Kazimierza Wielkiego,I Liceum Ogólnokształcące im. Kazimierza Wielkiego,Zduńska Wola,40.55,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-brown.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
410,317,300,35,36,449,IV Liceum Ogólnokształcące im. E. Sczanieckiej,IV Liceum Ogólnokształcące im. E. Sczanieckiej,Łódź,40.29,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-brown.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
364,252,381,36,37,466,I LO im. Jarosława Dąbrowskiego,I LO im. Jarosława Dąbrowskiego,Tomaszów Maz.,39.88,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-brown.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
402,479,378,37,38,486,VI Liceum Ogólnokształcące im. Zbigniewa Herberta,VI Liceum Ogólnokształcące im. Zbigniewa Herberta,Bełchatów,39.39,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-brown.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
-,483,416,38,39,500+,"XXIX LO im. hm. Janka Bytnara ""Rudego""","XXIX LO im. hm. Janka Bytnara ""Rudego""",Łódź,38.99,,
-,427,465,39,40,500+,XXXIII Liceum Ogólnokształcące im. Armii Krajowej,XXXIII Liceum Ogólnokształcące im. Armii Krajowej,Łódź,38.49,,
-,500+,386,40,41,500+,I Liceum Ogólnokształcące im. Tadeusza Kościuszki,I Liceum Ogólnokształcące im. Tadeusza Kościuszki,Łask,38.23,,
-,500+,500+,41,42,500+,I Liceum Ogólnokształcące im. Feliksa Fabianiego,I Liceum Ogólnokształcące im. Feliksa Fabianiego,Radomsko,37.90,,
-,500+,441,42,43,500+,Liceum Ogólnokształcące im. Stefana Żeromskiego,Liceum Ogólnokształcące im. Stefana Żeromskiego,Opoczno,37.29,,
-,353,491,43,44,500+,Samorządowe LO im. Romualda Traugutta,Samorządowe LO im. Romualda Traugutta,Zgierz,37.15,,
-,500+,500+,44,45,500+,Liceum Ogólnokształcące w ZSLG,Liceum Ogólnokształcące w ZSLG,Głowno,37.12,,
-,-,500+,45,46,500+,LO w ZS im. Marii Skłodowskiej-Curie ,LO w ZS im. Marii Skłodowskiej-Curie ,Działoszyn,37.09,,
-,500+,500+,46,47,500+,II Liceum Ogólnokształcące im. Jana Pawła II,II Liceum Ogólnokształcące im. Jana Pawła II,Zduńska Wola,36.98,,
-,500+,500+,47,48,500+,II Liceum Ogólnokształcące im. S. Żeromskiego,II Liceum Ogólnokształcące im. S. Żeromskiego,Sieradz,36.61,,
-,500+,359,48,49,500+,III Liceum Ogólnokształcące ,III Liceum Ogólnokształcące ,Kutno,36.44,,
-,500+,500+,49,50,500+,LO im. Obrońców Praw Człowieka,LO im. Obrońców Praw Człowieka,Zelów,35.28,,
-,500+,500+,50,51,500+,Liceum Ogólnokształcące im. Marii Konopnickiej,Liceum Ogólnokształcące im. Marii Konopnickiej,Poddębice,34.81,,
-,500+,500+,51,52,500+,II LO im. Gabriela Narutowicza,II LO im. Gabriela Narutowicza,Łódź,34.65,,
-,498,475,52,53,500+,I Liceum Ogólnokształcące im. Kazimierza Wielkiego,I Liceum Ogólnokształcące im. Kazimierza Wielkiego,Łęczyca,34.54,,
-,500+,500+,53,54,500+,IV Liceum Ogólnokształcące,IV Liceum Ogólnokształcące,Łowicz,34.02,,
-,500+,500+,54,55,500+,I Liceum Ogólnokształcące im. Henryka Sienkiewicza,I Liceum Ogólnokształcące im. Henryka Sienkiewicza,Koluszki,34.00,,
